date,firstprize,d1,d2,d3,d4,d5,d6,sum,odd,even
2010-03-01,215227,2,1,5,2,2,7,19,3,3
2010-03-16,364222,3,6,4,2,2,2,19,1,5
2010-04-01,959517,9,5,9,5,1,7,36,6,0
2010-04-16,211743,2,1,1,7,4,3,18,4,2
2010-05-02,360371,3,6,0,3,7,1,20,4,2
2010-05-16,480012,4,8,0,0,1,2,15,1,5
2010-06-01,444874,4,4,4,8,7,4,31,1,5
2010-06-16,500104,5,0,0,1,0,4,10,2,4
2010-07-01,480239,4,8,0,2,3,9,26,2,4
2010-07-16,180387,1,8,0,3,8,7,27,3,3
2010-08-01,210008,2,1,0,0,0,8,11,1,5
2010-08-16,911097,9,1,1,0,9,7,27,5,1
2010-09-01,354656,3,5,4,6,5,6,29,3,3
2010-09-16,017422,0,1,7,4,2,2,16,2,4
2010-10-01,488372,4,8,8,3,7,2,32,2,4
2010-10-16,621377,6,2,1,3,7,7,26,4,2
2010-11-01,191100,1,9,1,1,0,0,12,4,2
2010-11-16,813993,8,1,3,9,9,3,33,5,1
2010-12-01,181752,1,8,1,7,5,2,24,4,2
2010-12-16,334380,3,3,4,3,8,0,21,3,3
2010-12-30,884112,8,8,4,1,1,2,24,2,4
2011-01-16,281062,2,8,1,0,6,2,19,1,5
2011-02-01,610089,6,1,0,0,8,9,24,2,4
2011-02-16,481746,4,8,1,7,4,6,30,2,4
2011-03-01,656037,6,5,6,0,3,7,27,3,3
2011-03-16,593331,5,9,3,3,3,1,24,6,0
2011-04-01,814931,8,1,4,9,3,1,26,4,2
2011-04-16,825988,8,2,5,9,8,8,40,2,4
2011-05-02,054136,0,5,4,1,3,6,19,3,3
2011-05-16,406417,4,0,6,4,1,7,22,2,4
2011-06-01,562370,5,6,2,3,7,0,23,3,3
2011-06-16,351276,3,5,1,2,7,6,24,4,2
2011-07-01,622953,6,2,2,9,5,3,27,3,3
2011-07-16,116556,1,1,6,5,5,6,24,4,2
2011-08-01,218756,2,1,8,7,5,6,29,3,3
2011-08-16,536960,5,3,6,9,6,0,29,3,3
2011-09-01,724533,7,2,4,5,3,3,24,4,2
2011-09-16,731198,7,3,1,1,9,8,29,5,1
2011-10-01,511052,5,1,1,0,5,2,14,4,2
2011-10-16,955756,9,5,5,7,5,6,37,5,1
2011-11-01,805540,8,0,5,5,4,0,22,2,4
2011-11-16,997777,9,9,7,7,7,7,46,6,0
